Age,Gender,Education Level,Years of Experience,Salary
49,Female,Master's,21,180000
30,Male,Bachelor's,3,45000
44,Male,Bachelor's,16,130000
27,Female,Master's,1,45000
36,Male,Bachelor's,7,90000
41,Female,PhD,17,160000
31,Male,Bachelor's,4,50000
39,Female,Bachelor's,10,120000
47,Male,Master's,20,170000
30,Female,Bachelor's,2,40000
38,Male,Master's,9,110000
45,Female,PhD,15,150000
28,Male,Bachelor's,2,40000
35,Female,Bachelor's,8,85000
44,Male,Bachelor's,14,130000
34,Female,Master's,6,100000
35,Male,Bachelor's,9,95000
50,Female,PhD,22,180000
29,Male,Bachelor's,1,35000
40,Female,Bachelor's,12,100000
48,Male,Master's,19,170000
31,Female,Bachelor's,3,45000
33,Male,Bachelor's,7,100000
42,Female,Master's,13,140000
28,Male,Bachelor's,2,40000
40,Female,Bachelor's,11,105000
46,Male,PhD,18,160000
33,Female,Bachelor's,5,70000
37,Male,Master's,9,120000
51,Female,Master's,21,190000
30,Male,Bachelor's,3,45000
43,Male,Bachelor's,15,120000
27,Female,Master's,1,50000
35,Male,Bachelor's,8,85000
42,Female,PhD,13,140000
32,Male,Bachelor's,3,45000
37,Female,Bachelor's,9,100000
45,Male,Master's,16,140000
33,Female,Bachelor's,5,70000
39,Male,Bachelor's,10,120000
44,Female,PhD,18,160000
29,Male,Bachelor's,1,40000
38,Female,Bachelor's,10,120000
46,Male,PhD,19,150000
34,Female,Bachelor's,6,70000
36,Male,Bachelor's,8,95000
49,Female,Master's,21,180000
31,Male,Bachelor's,3,50000
41,Female,Bachelor's,11,95000
47,Male,Master's,20,170000
30,Female,Bachelor's,2,40000
38,Male,Master's,9,110000
45,Female,PhD,15,150000
28,Male,Bachelor's,2,40000
35,Female,Bachelor's,8,85000
44,Male,Bachelor's,14,130000
34,Female,Master's,6,100000
35,Male,Bachelor's,9,95000
50,Female,PhD,22,180000
29,Male,Bachelor's,1,350
37,Female,Bachelor's,10,120000
46,Male,PhD,18,160000
31,Female,Bachelor's,3,50000
42,Male,Bachelor's,12,110000
29,Female,Bachelor's,1,40000
36,Male,Bachelor's,8,95000
44,Female,Master's,15,140000
33,Male,Bachelor's,4,60000
39,Female,Bachelor's,9,110000
45,Male,PhD,16,150000
32,Female,Bachelor's,4,60000
37,Male,Bachelor's,8,90000
47,Female,Master's,20,180000
30,Male,Bachelor's,2,40000
38,Female,Bachelor's,9,120000
46,Male,PhD,17,160000
34,Female,Bachelor's,5,70000
36,Male,Bachelor's,8,95000
49,Female,Master's,21,180000
31,Male,Bachelor's,3,50000
41,Female,Bachelor's,11,95000
47,Male,Master's,19,170000
29,Female,Bachelor's,1,35000
35,Male,Bachelor's,9,100000
44,Female,PhD,15,150000
33,Male,Bachelor's,4,60000
35,Female,Bachelor's,8,85000
44,Male,Bachelor's,13,130000
32,Male,Bachelor's,4,65000
38,Female,Bachelor's,10,110000
49,Male,PhD,21,180000
29,Female,Bachelor's,2,40000
35,Male,Bachelor's,7,90000
45,Female,Master's,14,140000
33,Male,Bachelor's,4,60000
40,Female,Bachelor's,12,130000
44,Male,PhD,16,160000
30,Female,Bachelor's,2,40000
37,Male,Bachelor's,9,100000
48,Female,Master's,20,180000
31,Male,Bachelor's,3,55000
38,Female,Bachelor's,9,120000
45,Male,PhD,16,150000
33,Female,Bachelor's,5,70000
36,Male,Bachelor's,8,95000
49,Female,Master's,21,180000
31,Male,Bachelor's,3,50000
42,Female,Bachelor's,12,120000
47,Male,Master's,19,170000
29,Female,Bachelor's,1,35000
35,Male,Bachelor's,9,100000
44,Female,PhD,15,150000
33,Male,Bachelor's,4,60000
35,Female,Bachelor's,8,85000
44,Male,Bachelor's,13,130000
34,Female,Master's,6,80000
36,Male,Bachelor's,8,95000
30,Female,Bachelor's,2,40000
37,Male,Bachelor's,10,120000
45,Female,Master's,16,160000
32,Male,Bachelor's,4,65000
39,Female,Bachelor's,12,130000
47,Male,PhD,20,180000
29,Female,Bachelor's,2,40000
36,Male,Bachelor's,9,100000
43,Female,PhD,15,150000
32,Male,Bachelor's,3,55000
38,Female,Bachelor's,10,110000
48,Male,Master's,21,180000
31,Female,Bachelor's,3,50000
40,Male,Bachelor's,12,130000
45,Female,PhD,16,160000
33,Male,Bachelor's,4,60000
36,Female,Bachelor's,8,95000
47,Male,Master's,19,170000
29,Female,Bachelor's,2,40000
34,Male,Bachelor's,7,90000
44,Female,PhD,15,150000
33,Male,Bachelor's,5,70000
35,Female,Bachelor's,8,90000
43,Male,Master's,18,170000
31,Female,Bachelor's,3,50000
41,Male,Bachelor's,14,150000
44,Female,PhD,16,160000
33,Male,Bachelor's,4,60000
35,Female,Bachelor's,8,85000
45,Male,Master's,19,180000
28,Female,Bachelor's,1,35000
36,Male,Bachelor's,8,110000
44,Female,PhD,16,160000
31,Male,Bachelor's,3,55000
38,Female,Bachelor's,10,110000
48,Male,Master's,21,180000
31,Female,Bachelor's,3,50000
40,Male,Bachelor's,12,130000
45,Female,PhD,16,160000
33,Male,Bachelor's,4,60000
36,Female,Bachelor's,8,95000
47,Male,Master's,19,170000
29,Female,Bachelor's,2,40000
34,Male,Bachelor's,7,90000
44,Female,PhD,15,150000
33,Male,Bachelor's,5,70000
35,Female,Bachelor's,8,90000
43,Male,Master's,18,170000
31,Female,Bachelor's,3,50000
41,Male,Bachelor's,14,150000
44,Female,PhD,16,160000
33,Male,Bachelor's,4,60000
35,Female,Bachelor's,8,85000
43,Male,Master's,19,170000
29,Female,Bachelor's,2,40000
34,Male,Bachelor's,7,90000
44,Female,PhD,15,150000
31,Male,Master's,6,160000
28,Female,Bachelor's,3,125000
26,Male,Master's,2,120000
27,Female,Bachelor's,2,110000
30,Male,PhD,5,180000
29,Female,Bachelor's,4,140000
32,Male,Bachelor's,7,170000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
28,Male,Bachelor's,3,125000
26,Female,Master's,2,120000
27,Male,Bachelor's,2,110000
30,Female,PhD,5,180000
29,Male,Bachelor's,4,140000
32,Male,Bachelor's,7,170000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
28,Male,Bachelor's,3,125000
26,Female,Master's,2,120000
27,Male,Bachelor's,2,110000
30,Female,PhD,5,180000
29,Male,Bachelor's,4,140000
32,Male,Bachelor's,7,170000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
28,Male,Bachelor's,3,125000
26,Female,Master's,2,120000
27,Male,Bachelor's,2,110000
30,Female,PhD,5,180000
29,Male,Bachelor's,4,140000
32,Male,Bachelor's,7,170000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
28,Male,Bachelor's,3,125000
26,Female,Master's,2,120000
27,Male,Bachelor's,2,110000
30,Female,PhD,5,180000
29,Male,Bachelor's,4,140000
32,Male,Bachelor's,7,170000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
25,Female,Master's,1,100000
33,Male,PhD,8,190000
31,Female,Bachelor's,6,155000
28,Male,Master's,3,130000
30,Female,Bachelor's,5,145000
27,Male,PhD,2,115000
29,Female,Bachelor's,4,140000
34,Male,Bachelor's,9,185000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
27,Female,Bachelor's,4,150000
24,Male,Bachelor's,1,90000
31,Female,Master's,9,195000
28,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
25,Male,Bachelor's,2,110000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
23,Male,Bachelor's,1,95000
32,Female,PhD,10,193000
29,Male,Bachelor's,6,175000
30,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
31,Female,Master's,6,180000
28,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
25,Male,Bachelor's,2,110000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
27,Female,Bachelor's,4,150000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
33,Male,Master's,11,198000
26,Female,Bachelor's,3,130000
30,Male,PhD,7,185000
27,Female,Bachelor's,4,140000
34,Male,Master's,12,196000
25,Female,Bachelor's,2,110000
32,Male,Bachelor's,8,190000
29,Female,Master's,6,180000
30,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
31,Female,PhD,9,195000
28,Male,Bachelor's,5,160000
27,Female,Bachelor's,4,150000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
25,Male,Bachelor's,2,110000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Male,Bachelor's,2,125000
28,Female,Master's,6,175000
30,Male,Bachelor's,8,190000
27,Female,Bachelor's,4,150000
24,Male,Bachelor's,1,95000
31,Male,Master's,9,195000
28,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
26,Male,Bachelor's,3,130000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
23,Male,Bachelor's,1,90000
32,Female,PhD,10,193000
29,Male,Bachelor's,6,170000
30,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,135000
31,Female,Master's,6,180000
28,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
25,Male,Bachelor's,2,115000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
27,Female,Bachelor's,4,150000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
33,Male,Master's,11,198000
26,Female,Bachelor's,3,130000
30,Male,PhD,7,185000
27,Female,Bachelor's,4,140000
34,Male,Master's,12,196000
25,Female,Bachelor's,2,110000
32,Male,Bachelor's,8,190000
29,Female,Master's,6,180000
30,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
31,Female,PhD,9,195000
28,Male,Bachelor's,5,160000
27,Female,Bachelor's,4,150000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
25,Male,Bachelor's,2,110000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
23,Male,Bachelor's,1,90000
27,Female,Master's,4,150000
32,Male,Bachelor's,8,190000
24,Female,Bachelor's,3,125000
25,Male,Bachelor's,2,110000
31,Male,Master's,7,180000
28,Male,Bachelor's,5,160000
33,Female,Master's,10,195000
26,Male,Bachelor's,3,130000
30,Female,PhD,6,170000
27,Male,Bachelor's,4,140000
34,Female,Master's,11,196000
23,Male,Bachelor's,1,92000
32,Female,PhD,9,195000
29,Male,Bachelor's,6,170000
30,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,135000
31,Female,Master's,6,180000
28,Male,Bachelor's,5,165000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,95000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
25,Male,Bachelor's,2,115000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
27,Female,Bachelor's,4,150000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
33,Male,Master's,11,198000
26,Female,Bachelor's,3,130000
30,Male,PhD,7,185000
27,Female,Bachelor's,4,140000
34,Male,Master's,12,196000
25,Female,Bachelor's,2,110000
32,Male,Bachelor's,8,190000
29,Female,Master's,6,180000
30,Male,Bachelor's,5,160000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
31,Female,PhD,9,195000
28,Male,Bachelor's,5,160000
27,Female,Bachelor's,4,150000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
25,Male,Bachelor's,2,110000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
25,Male,Bachelor's,3,135000
32,Male,Bachelor's,8,190000
29,Female,Master's,6,180000
30,Male,Bachelor's,5,160000
24,Male,Bachelor's,1,95000
33,Female,Master's,11,196000
27,Male,Bachelor's,4,140000
26,Male,Bachelor's,3,130000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Female,Bachelor's,3,130000
30,Male,PhD,7,185000
27,Female,Bachelor's,4,150000
24,Male,Bachelor's,1,90000
33,Male,Master's,11,198000
25,Male,Bachelor's,2,115000
28,Male,Bachelor's,5,165000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
27,Male,Bachelor's,4,140000
31,Female,Master's,6,180000
30,Male,Bachelor's,5,160000
24,Male,Bachelor's,1,92000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
25,Male,Bachelor's,2,110000
30,Female,PhD,7,185000
27,Male,Bachelor's,4,140000
34,Female,Master's,12,196000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
25,Female,Bachelor's,2,110000
30,Female,PhD,7,185000
31,Male,Bachelor's,9,195000
28,Female,Bachelor's,5,160000
26,Male,Bachelor's,3,130000
29,Female,Master's,6,180000
32,Male,Bachelor's,8,190000
33,Female,Master's,11,198000
24,Male,Bachelor's,1,90000
27,Male,Bachelor's,4,140000
